year doy  h  Ap F107  
2020 235  0   3  71.6
2020 235  1   3  71.6
2020 235  2   3  71.6
2020 235  3   7  71.6
2020 235  4   7  71.6
2020 235  5   7  71.6
2020 235  6   6  71.6
2020 235  7   6  71.6
2020 235  8   6  71.6
2020 235  9   6  71.6
2020 235 10   6  71.6
2020 235 11   6  71.6
2020 235 12   4  71.6
2020 235 13   4  71.6
2020 235 14   4  71.6
2020 235 15   5  71.6
2020 235 16   5  71.6
2020 235 17   5  71.6
2020 235 18   6  71.6
2020 235 19   6  71.6
2020 235 20   6  71.6
2020 235 21   9  71.6
2020 235 22   9  71.6
2020 235 23   9  71.6
2020 236  0   7  72.1
2020 236  1   7  72.1
2020 236  2   7  72.1
2020 236  3   7  72.1
2020 236  4   7  72.1
2020 236  5   7  72.1
2020 236  6   5  72.1
2020 236  7   5  72.1
2020 236  8   5  72.1
2020 236  9   7  72.1
2020 236 10   7  72.1
2020 236 11   7  72.1
2020 236 12   9  72.1
2020 236 13   9  72.1
2020 236 14   9  72.1
2020 236 15   6  72.1
2020 236 16   6  72.1
2020 236 17   6  72.1
2020 236 18   4  72.1
2020 236 19   4  72.1
2020 236 20   4  72.1
2020 236 21  12  72.1
2020 236 22  12  72.1
2020 236 23  12  72.1
