year doy  h  Ap F107  
2020 214  0   0  74.1
2020 214  1   0  74.1
2020 214  2   0  74.1
2020 214  3   3  74.1
2020 214  4   3  74.1
2020 214  5   3  74.1
2020 214  6   3  74.1
2020 214  7   3  74.1
2020 214  8   3  74.1
2020 214  9   2  74.1
2020 214 10   2  74.1
2020 214 11   2  74.1
2020 214 12   3  74.1
2020 214 13   3  74.1
2020 214 14   3  74.1
2020 214 15   4  74.1
2020 214 16   4  74.1
2020 214 17   4  74.1
2020 214 18   4  74.1
2020 214 19   4  74.1
2020 214 20   4  74.1
2020 214 21   2  74.1
2020 214 22   2  74.1
2020 214 23   2  74.1
2020 215  0   2  74.9
2020 215  1   2  74.9
2020 215  2   2  74.9
2020 215  3   3  74.9
2020 215  4   3  74.9
2020 215  5   3  74.9
2020 215  6   4  74.9
2020 215  7   4  74.9
2020 215  8   4  74.9
2020 215  9  12  74.9
2020 215 10  12  74.9
2020 215 11  12  74.9
2020 215 12  18  74.9
2020 215 13  18  74.9
2020 215 14  18  74.9
2020 215 15  15  74.9
2020 215 16  15  74.9
2020 215 17  15  74.9
2020 215 18   7  74.9
2020 215 19   7  74.9
2020 215 20   7  74.9
2020 215 21  15  74.9
2020 215 22  15  74.9
2020 215 23  15  74.9
2020 216  0  18  74.8
2020 216  1  18  74.8
2020 216  2  18  74.8
2020 216  3  18  74.8
2020 216  4  18  74.8
2020 216  5  18  74.8
2020 216  6  15  74.8
2020 216  7  15  74.8
2020 216  8  15  74.8
2020 216  9  12  74.8
2020 216 10  12  74.8
2020 216 11  12  74.8
2020 216 12   9  74.8
2020 216 13   9  74.8
2020 216 14   9  74.8
2020 216 15  18  74.8
2020 216 16  18  74.8
2020 216 17  18  74.8
2020 216 18  15  74.8
2020 216 19  15  74.8
2020 216 20  15  74.8
2020 216 21  18  74.8
2020 216 22  18  74.8
2020 216 23  18  74.8
2020 217  0   7  75.1
2020 217  1   7  75.1
2020 217  2   7  75.1
2020 217  3  18  75.1
2020 217  4  18  75.1
2020 217  5  18  75.1
2020 217  6   5  75.1
2020 217  7   5  75.1
2020 217  8   5  75.1
2020 217  9   6  75.1
2020 217 10   6  75.1
2020 217 11   6  75.1
2020 217 12   5  75.1
2020 217 13   5  75.1
2020 217 14   5  75.1
2020 217 15   5  75.1
2020 217 16   5  75.1
2020 217 17   5  75.1
2020 217 18   5  75.1
2020 217 19   5  75.1
2020 217 20   5  75.1
2020 217 21   6  75.1
2020 217 22   6  75.1
2020 217 23   6  75.1
2020 218  0   6  75.6
2020 218  1   6  75.6
2020 218  2   6  75.6
2020 218  3   5  75.6
2020 218  4   5  75.6
2020 218  5   5  75.6
2020 218  6   4  75.6
2020 218  7   4  75.6
2020 218  8   4  75.6
2020 218  9   3  75.6
2020 218 10   3  75.6
2020 218 11   3  75.6
2020 218 12   3  75.6
2020 218 13   3  75.6
2020 218 14   3  75.6
2020 218 15   4  75.6
2020 218 16   4  75.6
2020 218 17   4  75.6
2020 218 18   9  75.6
2020 218 19   9  75.6
2020 218 20   9  75.6
2020 218 21   5  75.6
2020 218 22   5  75.6
2020 218 23   5  75.6
2020 219  0   3  75.1
2020 219  1   3  75.1
2020 219  2   3  75.1
2020 219  3   5  75.1
2020 219  4   5  75.1
2020 219  5   5  75.1
2020 219  6   2  75.1
2020 219  7   2  75.1
2020 219  8   2  75.1
2020 219  9   3  75.1
2020 219 10   3  75.1
2020 219 11   3  75.1
2020 219 12   6  75.1
2020 219 13   6  75.1
2020 219 14   6  75.1
2020 219 15   5  75.1
2020 219 16   5  75.1
2020 219 17   5  75.1
2020 219 18   3  75.1
2020 219 19   3  75.1
2020 219 20   3  75.1
2020 219 21   7  75.1
2020 219 22   7  75.1
2020 219 23   7  75.1
2020 220  0   6  76.0
2020 220  1   6  76.0
2020 220  2   6  76.0
2020 220  3   4  76.0
2020 220  4   4  76.0
2020 220  5   4  76.0
2020 220  6   0  76.0
2020 220  7   0  76.0
2020 220  8   0  76.0
2020 220  9   2  76.0
2020 220 10   2  76.0
2020 220 11   2  76.0
2020 220 12   2  76.0
2020 220 13   2  76.0
2020 220 14   2  76.0
2020 220 15   2  76.0
2020 220 16   2  76.0
2020 220 17   2  76.0
2020 220 18   3  76.0
2020 220 19   3  76.0
2020 220 20   3  76.0
2020 220 21   5  76.0
2020 220 22   5  76.0
2020 220 23   5  76.0
2020 221  0   7  76.8
2020 221  1   7  76.8
2020 221  2   7  76.8
2020 221  3   6  76.8
2020 221  4   6  76.8
2020 221  5   6  76.8
2020 221  6   5  76.8
2020 221  7   5  76.8
2020 221  8   5  76.8
2020 221  9   4  76.8
2020 221 10   4  76.8
2020 221 11   4  76.8
2020 221 12   5  76.8
2020 221 13   5  76.8
2020 221 14   5  76.8
2020 221 15   4  76.8
2020 221 16   4  76.8
2020 221 17   4  76.8
2020 221 18   3  76.8
2020 221 19   3  76.8
2020 221 20   3  76.8
2020 221 21   2  76.8
2020 221 22   2  76.8
2020 221 23   2  76.8
2020 222  0   0  76.0
2020 222  1   0  76.0
2020 222  2   0  76.0
2020 222  3   2  76.0
2020 222  4   2  76.0
2020 222  5   2  76.0
2020 222  6   2  76.0
2020 222  7   2  76.0
2020 222  8   2  76.0
2020 222  9   3  76.0
2020 222 10   3  76.0
2020 222 11   3  76.0
2020 222 12   2  76.0
2020 222 13   2  76.0
2020 222 14   2  76.0
2020 222 15   2  76.0
2020 222 16   2  76.0
2020 222 17   2  76.0
2020 222 18   2  76.0
2020 222 19   2  76.0
2020 222 20   2  76.0
2020 222 21   3  76.0
2020 222 22   3  76.0
2020 222 23   3  76.0
2020 223  0   2  76.2
2020 223  1   2  76.2
2020 223  2   2  76.2
2020 223  3   2  76.2
2020 223  4   2  76.2
2020 223  5   2  76.2
2020 223  6   2  76.2
2020 223  7   2  76.2
2020 223  8   2  76.2
2020 223  9   2  76.2
2020 223 10   2  76.2
2020 223 11   2  76.2
2020 223 12   0  76.2
2020 223 13   0  76.2
2020 223 14   0  76.2
2020 223 15   3  76.2
2020 223 16   3  76.2
2020 223 17   3  76.2
2020 223 18   2  76.2
2020 223 19   2  76.2
2020 223 20   2  76.2
2020 223 21   3  76.2
2020 223 22   3  76.2
2020 223 23   3  76.2
2020 224  0   4  75.4
2020 224  1   4  75.4
2020 224  2   4  75.4
2020 224  3   3  75.4
2020 224  4   3  75.4
2020 224  5   3  75.4
2020 224  6   2  75.4
2020 224  7   2  75.4
2020 224  8   2  75.4
2020 224  9   2  75.4
2020 224 10   2  75.4
2020 224 11   2  75.4
2020 224 12   2  75.4
2020 224 13   2  75.4
2020 224 14   2  75.4
2020 224 15   0  75.4
2020 224 16   0  75.4
2020 224 17   0  75.4
2020 224 18   0  75.4
2020 224 19   0  75.4
2020 224 20   0  75.4
2020 224 21   2  75.4
2020 224 22   2  75.4
2020 224 23   2  75.4
2020 225  0   2  75.1
2020 225  1   2  75.1
2020 225  2   2  75.1
2020 225  3   5  75.1
2020 225  4   5  75.1
2020 225  5   5  75.1
2020 225  6   4  75.1
2020 225  7   4  75.1
2020 225  8   4  75.1
2020 225  9   3  75.1
2020 225 10   3  75.1
2020 225 11   3  75.1
2020 225 12   4  75.1
2020 225 13   4  75.1
2020 225 14   4  75.1
2020 225 15   3  75.1
2020 225 16   3  75.1
2020 225 17   3  75.1
2020 225 18   3  75.1
2020 225 19   3  75.1
2020 225 20   3  75.1
2020 225 21   2  75.1
2020 225 22   2  75.1
2020 225 23   2  75.1
2020 226  0   6  74.2
2020 226  1   6  74.2
2020 226  2   6  74.2
2020 226  3   3  74.2
2020 226  4   3  74.2
2020 226  5   3  74.2
2020 226  6   2  74.2
2020 226  7   2  74.2
2020 226  8   2  74.2
2020 226  9   2  74.2
2020 226 10   2  74.2
2020 226 11   2  74.2
2020 226 12   5  74.2
2020 226 13   5  74.2
2020 226 14   5  74.2
2020 226 15   2  74.2
2020 226 16   2  74.2
2020 226 17   2  74.2
2020 226 18   2  74.2
2020 226 19   2  74.2
2020 226 20   2  74.2
2020 226 21   5  74.2
2020 226 22   5  74.2
2020 226 23   5  74.2
2020 227  0   4  72.6
2020 227  1   4  72.6
2020 227  2   4  72.6
2020 227  3   6  72.6
2020 227  4   6  72.6
2020 227  5   6  72.6
2020 227  6   2  72.6
2020 227  7   2  72.6
2020 227  8   2  72.6
2020 227  9   2  72.6
2020 227 10   2  72.6
2020 227 11   2  72.6
2020 227 12   3  72.6
2020 227 13   3  72.6
2020 227 14   3  72.6
2020 227 15   2  72.6
2020 227 16   2  72.6
2020 227 17   2  72.6
2020 227 18   3  72.6
2020 227 19   3  72.6
2020 227 20   3  72.6
2020 227 21   3  72.6
2020 227 22   3  72.6
2020 227 23   3  72.6
2020 228  0   0  72.4
2020 228  1   0  72.4
2020 228  2   0  72.4
2020 228  3   0  72.4
2020 228  4   0  72.4
2020 228  5   0  72.4
2020 228  6   4  72.4
2020 228  7   4  72.4
2020 228  8   4  72.4
2020 228  9   2  72.4
2020 228 10   2  72.4
2020 228 11   2  72.4
2020 228 12   2  72.4
2020 228 13   2  72.4
2020 228 14   2  72.4
2020 228 15   2  72.4
2020 228 16   2  72.4
2020 228 17   2  72.4
2020 228 18   2  72.4
2020 228 19   2  72.4
2020 228 20   2  72.4
2020 228 21   2  72.4
2020 228 22   2  72.4
2020 228 23   2  72.4
2020 229  0   4  72.6
2020 229  1   4  72.6
2020 229  2   4  72.6
2020 229  3   4  72.6
2020 229  4   4  72.6
2020 229  5   4  72.6
2020 229  6   4  72.6
2020 229  7   4  72.6
2020 229  8   4  72.6
2020 229  9   4  72.6
2020 229 10   4  72.6
2020 229 11   4  72.6
2020 229 12   2  72.6
2020 229 13   2  72.6
2020 229 14   2  72.6
2020 229 15   2  72.6
2020 229 16   2  72.6
2020 229 17   2  72.6
2020 229 18   2  72.6
2020 229 19   2  72.6
2020 229 20   2  72.6
2020 229 21   3  72.6
2020 229 22   3  72.6
2020 229 23   3  72.6
2020 230  0   3  72.5
2020 230  1   3  72.5
2020 230  2   3  72.5
2020 230  3   2  72.5
2020 230  4   2  72.5
2020 230  5   2  72.5
2020 230  6   3  72.5
2020 230  7   3  72.5
2020 230  8   3  72.5
2020 230  9   4  72.5
2020 230 10   4  72.5
2020 230 11   4  72.5
2020 230 12   3  72.5
2020 230 13   3  72.5
2020 230 14   3  72.5
2020 230 15   2  72.5
2020 230 16   2  72.5
2020 230 17   2  72.5
